country,value,region,CODE,shuoming,title
Netherlands,0.776,2015年性别差异指数,NLD,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Nicaragua,0.776,2015年性别差异指数,NIC,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Denmark,0.767,2015年性别差异指数,DNK,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
France,0.761,2015年性别差异指数,FRA,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Namibia,0.76,2015年性别差异指数,NAM,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
South africa,0.759,2015年性别差异指数,ZAF,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
United Kingdom,0.758,2015年性别差异指数,GBR,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Belgium,0.753,2015年性别差异指数,BEL,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Latvia,0.752,2015年性别差异指数,LVA,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Estonia,0.749,2015年性别差异指数,EST,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Bolivia,0.749,2015年性别差异指数,BOL,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Burundi,0.748,2015年性别差异指数,BDI,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Barbados,0.744,2015年性别差异指数,BRB,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Moldova,0.742,2015年性别差异指数,MDA,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Spain,0.742,2015年性别差异指数,ESP,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Mozambique,0.741,2015年性别差异指数,MOZ,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
United States,0.74,2015年性别差异指数,USA,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Cuba,0.74,2015年性别差异指数,CUB,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Lithuania,0.74,2015年性别差异指数,LTU,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
canada,0.74,2015年性别差异指数,CAN,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Luxembourg,0.738,2015年性别差异指数,LUX,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Ecuador,0.738,2015年性别差异指数,ECU,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Argentina,0.734,2015年性别差异指数,ARG,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Belarus,0.734,2015年性别差异指数,BLR,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Austria,0.733,2015年性别差异指数,AUT,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Australia,0.733,2015年性别差异指数,AUS,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
costa Rica,0.732,2015年性别差异指数,CRI,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Portugal,0.731,2015年性别差异指数,PRT,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Bahamas,0.728,2015年性别差异指数,BHM,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Italy,0.726,2015年性别差异指数,ITA,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Colombia,0.725,2015年性别差异指数,COL,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Panama,0.722,2015年性别差异指数,PAN,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Bulgaria,0.722,2015年性别差异指数,BGR,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Serbia,0.72,2015年性别差异指数,SRB,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Trinidad and Tobago,0.72,2015年性别差异指数,TTO,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Kenya,0.719,2015年性别差异指数,KEN,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Kazakhstan,0.719,2015年性别差异指数,KAZ,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Tanzania,0.718,2015年性别差异指数,TZA,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Cape Verde,0.717,2015年性别差异指数,,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Poland,0.715,2015年性别差异指数,POL,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Lao PdR,0.713,2015年性别差异指数,LAO,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Israel,0.712,2015年性别差异指数,ISR,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Singapore,0.711,2015年性别差异指数,SGP,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Botswana,0.71,2015年性别差异指数,BWA,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Mongolia,0.709,2015年性别差异指数,MNG,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Zimbabwe,0.709,2015年性别差异指数,ZWE,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Croatia,0.708,2015年性别差异指数,HRV,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Uganda,0.708,2015年性别差异指数,UGA,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
El Salvador,0.706,2015年性别差异指数,SLV,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Lesotho,0.706,2015年性别差异指数,LSO,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Thailand,0.706,2015年性别差异指数,THA,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Ghana,0.704,2015年性别差异指数,GHA,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
